SAVED BY: JJ
TITLE: 
COMMENTS: 
DATE: 2/24/2020
TIME: 8:13 PM

STIMULUS, RESPONSE
4.307500E+8,  -6.580078E+0
4.313125E+8,  -6.741455E+0
4.318750E+8,  -6.963135E+0
4.324375E+8,  -7.150146E+0
4.330000E+8,  -7.357422E+0
4.335625E+8,  -7.486572E+0
4.341250E+8,  -7.745850E+0
4.346875E+8,  -7.917236E+0
4.352500E+8,  -8.137695E+0
4.358125E+8,  -8.317383E+0
4.363750E+8,  -8.559082E+0
4.369375E+8,  -8.787109E+0
4.375000E+8,  -9.089355E+0
4.380625E+8,  -9.333008E+0
4.386250E+8,  -9.614746E+0
4.391875E+8,  -9.988770E+0
4.397500E+8,  -1.024023E+1
4.403125E+8,  -1.062744E+1
4.408750E+8,  -1.095850E+1
4.414375E+8,  -1.142285E+1
4.420000E+8,  -1.180762E+1
4.425625E+8,  -1.218018E+1
4.431250E+8,  -1.267139E+1
4.436875E+8,  -1.311816E+1
4.442500E+8,  -1.340820E+1
4.448125E+8,  -1.410010E+1
4.453750E+8,  -1.449561E+1
4.459375E+8,  -1.493945E+1
4.465000E+8,  -1.543115E+1
4.470625E+8,  -1.598828E+1
4.476250E+8,  -1.645313E+1
4.481875E+8,  -1.694238E+1
4.487500E+8,  -1.749414E+1
4.493125E+8,  -1.802051E+1
4.498750E+8,  -1.855273E+1
4.504375E+8,  -1.910840E+1
4.510000E+8,  -1.975586E+1
4.515625E+8,  -2.036230E+1
4.521250E+8,  -2.097461E+1
4.526875E+8,  -2.151660E+1
4.532500E+8,  -2.203516E+1
4.538125E+8,  -2.240625E+1
4.543750E+8,  -2.248242E+1
4.549375E+8,  -2.239551E+1
4.555000E+8,  -2.206543E+1
4.560625E+8,  -2.160156E+1
4.566250E+8,  -2.099707E+1
4.571875E+8,  -2.031543E+1
4.577500E+8,  -1.970508E+1
4.583125E+8,  -1.903223E+1
4.588750E+8,  -1.839648E+1
4.594375E+8,  -1.782617E+1
4.600000E+8,  -1.738574E+1
4.605625E+8,  -1.693359E+1
4.611250E+8,  -1.641699E+1
4.616875E+8,  -1.597461E+1
4.622500E+8,  -1.560596E+1
4.628125E+8,  -1.529346E+1
4.633750E+8,  -1.500732E+1
4.639375E+8,  -1.469678E+1
4.645000E+8,  -1.436230E+1
4.650625E+8,  -1.418115E+1
4.656250E+8,  -1.379639E+1
4.661875E+8,  -1.354883E+1
4.667500E+8,  -1.320361E+1
4.673125E+8,  -1.295361E+1
4.678750E+8,  -1.262500E+1
4.684375E+8,  -1.239551E+1
4.690000E+8,  -1.211768E+1
4.695625E+8,  -1.177246E+1
4.701250E+8,  -1.154150E+1
4.706875E+8,  -1.127637E+1
4.712500E+8,  -1.098584E+1
4.718125E+8,  -1.071924E+1
4.723750E+8,  -1.050391E+1
4.729375E+8,  -1.038770E+1
4.735000E+8,  -1.014258E+1
4.740625E+8,  -9.935059E+0
4.746250E+8,  -9.776367E+0
4.751875E+8,  -9.604492E+0
4.757500E+8,  -9.413574E+0
4.763125E+8,  -9.293457E+0
4.768750E+8,  -9.178223E+0
4.774375E+8,  -9.049805E+0
4.780000E+8,  -8.936523E+0
4.785625E+8,  -8.794434E+0
4.791250E+8,  -8.750977E+0
4.796875E+8,  -8.561523E+0
4.802500E+8,  -8.479492E+0
4.808125E+8,  -8.338379E+0
4.813750E+8,  -8.230469E+0
4.819375E+8,  -8.095215E+0
4.825000E+8,  -7.954590E+0
4.830625E+8,  -7.886719E+0
4.836250E+8,  -7.754395E+0
4.841875E+8,  -7.617432E+0
4.847500E+8,  -7.534912E+0
4.853125E+8,  -7.459717E+0
4.858750E+8,  -7.306885E+0
4.864375E+8,  -7.247314E+0
4.870000E+8,  -7.177979E+0
4.875625E+8,  -7.057617E+0
4.881250E+8,  -7.065430E+0
4.886875E+8,  -6.901611E+0
4.892500E+8,  -6.880615E+0
4.898125E+8,  -6.774902E+0
4.903750E+8,  -6.719482E+0
4.909375E+8,  -6.728271E+0
4.915000E+8,  -6.734375E+0
4.920625E+8,  -6.628174E+0
4.926250E+8,  -6.475830E+0
4.931875E+8,  -6.550781E+0
4.937500E+8,  -6.501221E+0
4.943125E+8,  -6.445801E+0
4.948750E+8,  -6.381348E+0
4.954375E+8,  -6.332275E+0
4.960000E+8,  -6.250244E+0
4.965625E+8,  -6.154297E+0
4.971250E+8,  -6.155029E+0
4.976875E+8,  -6.067627E+0
4.982500E+8,  -6.005127E+0
4.988125E+8,  -5.999268E+0
4.993750E+8,  -5.939453E+0
4.999375E+8,  -5.908936E+0
5.005000E+8,  -5.828369E+0
5.010625E+8,  -5.793457E+0
5.016250E+8,  -5.768066E+0
5.021875E+8,  -5.741943E+0
5.027500E+8,  -5.713135E+0
5.033125E+8,  -5.599854E+0
5.038750E+8,  -5.575928E+0
5.044375E+8,  -5.572998E+0
5.050000E+8,  -5.545654E+0
5.055625E+8,  -5.512207E+0
5.061250E+8,  -5.537598E+0
5.066875E+8,  -5.473877E+0
5.072500E+8,  -5.505127E+0
5.078125E+8,  -5.416260E+0
5.083750E+8,  -5.445068E+0
5.089375E+8,  -5.391602E+0
5.095000E+8,  -5.359131E+0
5.100625E+8,  -5.299072E+0
5.106250E+8,  -5.228271E+0
5.111875E+8,  -5.237305E+0
5.117500E+8,  -5.214111E+0
5.123125E+8,  -5.130615E+0
5.128750E+8,  -5.140137E+0
5.134375E+8,  -5.066162E+0
5.140000E+8,  -5.046631E+0
5.145625E+8,  -4.993896E+0
5.151250E+8,  -4.967773E+0
5.156875E+8,  -4.971680E+0
5.162500E+8,  -4.918457E+0
