FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.049826976,-0.0108725047,10.8237324
0.049950308,-0.0110959914,10.8517456
0.050073644,-0.0113172075,10.8797655
0.050196976,-0.0115373582,10.9077959
0.050320312,-0.0117539745,10.935833
0.050443644,-0.0119701037,10.9638796
0.05056698,-0.012183886,10.9919338
0.050690312,-0.0123965377,11.0199986
0.050813648,-0.0126074264,11.048069
0.050936984,-0.0128165353,11.0761442
0.051060316,-0.0130226081,11.1042337
0.051183652,-0.0132274861,11.1323309
0.051306984,-0.0134311551,11.1604357
0.05143032,-0.0136317294,11.1885509
0.051553652,-0.0138335666,11.2166691
0.051676988,-0.0140322819,11.2448006
0.05180032,-0.0142291021,11.2729368
0.051923656,-0.014425274,11.3010845
0.052046988,-0.0146182645,11.3292379
0.052170324,-0.0148112122,11.3574018
0.052293656,-0.0150034754,11.3855743
0.052416992,-0.0151918735,11.4137545
0.052540324,-0.0153808314,11.4419422
0.05266366,-0.0155684343,11.4701385
0.052786992,-0.0157533959,11.4983435
0.052910328,-0.0159356929,11.526557
0.05303366,-0.0161178764,11.55478
0.053156996,-0.0162992887,11.5830107
0.053280332,-0.016478641,11.611249
0.053403664,-0.0166584942,11.6394968
0.053527,-0.0168362632,11.6677561
0.053650332,-0.0170099959,11.6960211
0.053773668,-0.0171867888,11.7242966
0.053897,-0.0173601639,11.7525778
0.054020336,-0.0175314005,11.7808676
0.054143668,-0.0177037399,11.8091717
0.054267004,-0.0178726148,11.8374777
0.054390336,-0.0180432331,11.8657951
0.054513672,-0.0182083994,11.8941221
0.054637004,-0.0183772612,11.9224577
0.05476034,-0.0185432639,11.9508009
0.054883672,-0.0187083669,11.9791546
0.055007008,-0.0188712366,12.007514
0.05513034,-0.0190331861,12.0358858
0.055253676,-0.0191942006,12.0642662
0.055377008,-0.0193556026,12.0926552
0.055500344,-0.0195127372,12.1210518
0.055623676,-0.0196715705,12.1494579
0.055747012,-0.0198287778,12.1778746
0.055870348,-0.0199876782,12.2063007
0.05599368,-0.0201409273,12.2347345
0.056117016,-0.0202965271,12.2631769
0.056240348,-0.0204491224,12.2916298
0.056363684,-0.0206013806,12.3200912
0.056487016,-0.0207546446,12.3485632
0.056610352,-0.0209048707,12.3770437
0.056733684,-0.0210547391,12.4055328
0.05685702,-0.0212028995,12.4340334
0.056980352,-0.0213513654,12.4625416
0.057103688,-0.0214974284,12.4910603
0.05722702,-0.0216458272,12.5195894
0.057350356,-0.0217877179,12.5481243
0.057473688,-0.0219360292,12.5766745
0.057597024,-0.022078488,12.6052275
0.057720356,-0.0222205427,12.6337976
0.057843692,-0.0223642401,12.6623726
0.057967024,-0.0225034095,12.690958
0.05809036,-0.0226449016,12.7195511
0.058213692,-0.0227832198,12.7481604
0.058337028,-0.0229190271,12.7767744
0.058460364,-0.0230592266,12.8053999
0.058583696,-0.0231948402,12.8340359
0.058707032,-0.023332078,12.8626795
0.058830364,-0.0234646946,12.8913336
0.0589537,-0.0235989336,12.9199982
0.059077032,-0.023732705,12.9486761
0.059200368,-0.0238646101,12.9773607
0.0593237,-0.0239960346,13.0060568
0.059447036,-0.0241255779,13.0347605
0.059570368,-0.024255326,13.0634756
0.059693704,-0.0243824776,13.0922022
0.059817036,-0.0245098267,13.1209393
0.059940372,-0.0246359631,13.1496868
0.060063704,-0.0247601792,13.1784439
0.06018704,-0.0248866938,13.2072134
0.060310372,-0.0250091515,13.2359896
0.060433708,-0.0251317881,13.2647781
0.06055704,-0.0252538938,13.2935762
0.060680376,-0.0253719054,13.3223867
0.060803708,-0.0254922099,13.3512077
0.060927044,-0.0256084036,13.3800392
0.06105038,-0.0257247444,13.4088802
0.061173712,-0.0258419476,13.4377327
0.061297048,-0.0259557292,13.4665956
0.06142038,-0.0260682106,13.4954681
0.061543716,-0.0261829849,13.5243559
0.061667048,-0.0262892619,13.5532513
0.061790384,-0.0264014211,13.5821562
0.061913716,-0.0265108198,13.6110706
0.062037052,-0.0266181789,13.6400013
0.062160384,-0.0267242007,13.6689415
0.06228372,-0.0268288814,13.6978903
0.062407052,-0.0269314945,13.7268534
0.062530388,-0.0270338394,13.755826
0.06265372,-0.027133001,13.7848063
0.062777056,-0.0272322558,13.8138008
0.062900388,-0.0273283087,13.8428049
0.063023724,-0.0274255294,13.8718224
0.063147056,-0.0275210049,13.9008493
0.063270392,-0.0276154503,13.9298916
0.063393728,-0.0277081262,13.9589386
0.06351706,-0.0277975611,13.9879999
0.063640396,-0.0278848391,14.0170708
0.063763728,-0.0279729012,14.046154
0.063887064,-0.0280580614,14.0752516
0.064010396,-0.0281399377,14.1043577
0.064133732,-0.0282251667,14.1334743
0.064257064,-0.0283052493,14.1626034
0.0643804,-0.0283838753,14.1917458
0.064503732,-0.0284606572,14.2208958
0.064627068,-0.0285370853,14.2500582
0.0647504,-0.0286101736,14.2792339
0.064873736,-0.0286810249,14.3084192
0.064997068,-0.0287503768,14.3376169
0.065120404,-0.0288223401,14.3668242
0.065243736,-0.0288864449,14.3960447
0.065367072,-0.028950898,14.4252768
0.065490404,-0.0290145781,14.4545212
0.06561374,-0.0290725995,14.4837742
0.065737072,-0.0291335918,14.5130434
0.065860408,-0.0291896518,14.5423193
0.065983744,-0.0292430278,14.5716076
0.066107076,-0.0292978659,14.6009121
0.066230412,-0.0293473545,14.6302223
0.066353744,-0.0293933805,14.6595449
0.06647708,-0.0294419862,14.6888809
0.066600412,-0.0294867326,14.7182283
0.066723748,-0.0295283645,14.7475863
0.06684708,-0.029566491,14.7769566
0.066970416,-0.0296068098,14.8063374
0.067093748,-0.0296428483,14.8357306
0.06721708,-0.0296738353,14.8651381
0.067340416,-0.0297062341,14.8945541
0.067463752,-0.0297362357,14.9239817
0.067587088,-0.0297634397,14.9534216
0.067710416,-0.0297863111,14.982873
0.067833752,-0.029810207,15.0123358
0.067957088,-0.0298289824,15.0418091
0.068080424,-0.0298464615,15.0712976
0.068203752,-0.029863419,15.1007948
0.068327088,-0.029874444,15.1303034
0.068450424,-0.0298857074,15.1598253
0.06857376,-0.0298956539,15.1893578
0.068697096,-0.0298988596,15.2189016
0.068820424,-0.029904997,15.2484579
0.06894376,-0.0299063195,15.2780256
0.069067096,-0.0299031865,15.3076038
0.069190432,-0.0298998691,15.3371944
0.06931376,-0.0298936516,15.3667974
0.069437096,-0.0298864543,15.396409
0.069560432,-0.029873604,15.426034
0.069683768,-0.0298593845,15.4556742
0.069807096,-0.0298437793,15.485323
0.069930432,-0.0298248343,15.5149822
0.070053768,-0.0298025366,15.544652
0.070177104,-0.0297800209,15.574338
0.070300432,-0.0297541358,15.6040316
0.070423768,-0.0297252741,15.6337376
0.070547104,-0.0296949968,15.663456
0.07067044,-0.0296625141,15.6931858
0.070793768,-0.0296258423,15.7229261
0.070917104,-0.0295881331,15.7526798
0.07104044,-0.0295470133,15.7824421
0.071163776,-0.0295008887,15.8122196
0.071287112,-0.0294580646,15.8420076
0.07141044,-0.0294098258,15.8718023
0.071533776,-0.0293593388,15.9016171
0.071657112,-0.0293069854,15.9314365
0.071780448,-0.0292483922,15.9612694
0.071903776,-0.0291934982,15.9911146
0.072027112,-0.0291315466,16.0209732
0.072150448,-0.0290701017,16.0508366
0.072273784,-0.0290031824,16.080719
0.072397112,-0.0289367605,16.1106091
0.072520448,-0.028865641,16.1405144
0.072643784,-0.0287918132,16.1704273
0.07276712,-0.0287184771,16.2003498
0.072890448,-0.0286412258,16.2302876
0.073013784,-0.0285596419,16.2602367
0.07313712,-0.0284777414,16.2901974
0.073260456,-0.0283947159,16.3201714
0.073383784,-0.0283081513,16.3501549
0.07350712,-0.0282196421,16.380146
0.073630456,-0.0281287935,16.4101562
0.073753792,-0.0280351825,16.4401722
0.073877128,-0.0279396232,16.4702015
0.074000456,-0.02784089,16.5002384
0.074123792,-0.0277414192,16.5302944
0.074247128,-0.0276383609,16.560358
0.074370464,-0.0275353622,16.5904331
0.074493792,-0.0274263304,16.6205215
0.074617128,-0.0273185708,16.6506176
0.074740464,-0.0272051636,16.6807289
0.0748638,-0.0270958971,16.7108498
0.074987128,-0.0269813817,16.740984
