FFT Dimension (GHz),Re( S11 ),Im( S11 )
0.055747012,-0.888668358,0.460181862
0.055870348,-0.888179123,0.461137921
0.05599368,-0.887688577,0.462093532
0.056117016,-0.887197196,0.463048548
0.056240348,-0.886704504,0.464003175
0.056363684,-0.886210799,0.464957356
0.056487016,-0.885715961,0.465911061
0.056610352,-0.885220289,0.466864258
0.056733684,-0.884723306,0.467816859
0.05685702,-0.88422519,0.468769133
0.056980352,-0.88372606,0.46972096
0.057103688,-0.883225679,0.47067216
0.05722702,-0.882724643,0.471622944
0.057350356,-0.882222116,0.472573102
0.057473688,-0.881718636,0.473522991
0.057597024,-0.881214023,0.474472165
0.057720356,-0.880708337,0.475421011
0.057843692,-0.880201638,0.476369321
0.057967024,-0.879693747,0.477317065
0.05809036,-0.879184961,0.478264421
0.058213692,-0.878674805,0.479211301
0.058337028,-0.878163695,0.480157554
0.058460364,-0.877651513,0.48110351
0.058583696,-0.877138138,0.482048839
0.058707032,-0.876623988,0.482993662
0.058830364,-0.876108468,0.483937919
0.0589537,-0.875591815,0.484881788
0.059077032,-0.875074148,0.485825151
0.059200368,-0.874555469,0.486767977
0.0593237,-0.874035597,0.487710327
0.059447036,-0.873514771,0.48865214
0.059570368,-0.872992754,0.489593387
0.059693704,-0.872469664,0.490534246
0.059817036,-0.871945381,0.491474509
0.059940372,-0.871420145,0.492414355
0.060063704,-0.870893836,0.493353695
0.06018704,-0.870366395,0.494292587
0.060310372,-0.869837821,0.495230824
0.060433708,-0.869308293,0.496168673
0.06055704,-0.868777633,0.497105807
0.060680376,-0.868245602,0.498042524
0.060803708,-0.867712796,0.498978853
0.060927044,-0.867178798,0.499914557
0.06105038,-0.866643667,0.500849724
0.061173712,-0.866107464,0.501784444
0.061297048,-0.865570307,0.502718508
0.06142038,-0.865031838,0.503652155
0.061543716,-0.864492476,0.504585445
0.061667048,-0.863951921,0.50551796
0.061790384,-0.863410234,0.506449997
0.061913716,-0.862867713,0.507381558
0.062037052,-0.862323761,0.508312583
0.062160384,-0.861778855,0.509243071
0.06228372,-0.861232817,0.510173023
0.062407052,-0.860685647,0.511102438
0.062530388,-0.860137403,0.512031317
0.06265372,-0.859588146,0.51295954
0.062777056,-0.859037697,0.513887405
0.062900388,-0.858486235,0.514814675
0.063023724,-0.857933581,0.515741348
0.063147056,-0.857379973,0.516667664
0.063270392,-0.856825173,0.517593265
0.063393728,-0.8562693,0.518518388
0.06351706,-0.855712473,0.519442856
0.063640396,-0.855154276,0.520366788
0.063763728,-0.854595184,0.521290243
0.063887064,-0.854034722,0.522213161
0.064010396,-0.853473246,0.523135364
0.064133732,-0.852910995,0.524057209
0.064257064,-0.852347374,0.524978518
0.0643804,-0.851782739,0.525899112
0.064503732,-0.851216853,0.52681917
0.064627068,-0.850650072,0.527738631
0.0647504,-0.85008204,0.528657615
0.064873736,-0.849513054,0.529575944
